Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1968","1968","1000 ha","4500","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1969","1969","1000 ha","4500","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1970","1970","1000 ha","4500","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1971","1971","1000 ha","4800","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1972","1972","1000 ha","4800","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1973","1973","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1974","1974","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1975","1975","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1976","1976","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1977","1977","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1978","1978","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1979","1979","1000 ha","5000","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1980","1980","1000 ha","5300","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1981","1981","1000 ha","5500","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1982","1982","1000 ha","5500","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1983","1983","1000 ha","5800","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1984","1984","1000 ha","5800","I","Imputed value",""
"RL","Land Use","356","India","5110","Area","6650","Permanent crops","1985","1985","1000 ha","5800","I","Imputed value",""
